b'MacBook air 13     ';218 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/macbook-air-13-v-novom-sostoyanii-v-korobke-IDiF7fk.html#ca1e374241
b'  Macbook magsafe. ';11 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/zaryadnoe-ustroystva-macbook-magsafe-original-IDiF6Xk.html#ca1e374241
b'Macbook Pro 15 2011 Core i7';180 000 тг.;Алматы, Ауэзовский район;https://www.olx.kz/obyavlenie/macbook-pro-15-2011-core-i7-IDiF4C8.html#ca1e374241
b'   MacBook Pro/Air/IMac  ';3 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/silikonovye-nakladki-na-macbook-pro-air-imac-vse-modeli-IDdBxQq.html#ca1e374241
b' MacBook Air Gold 128';500 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/prodam-macbook-air-gold-128-IDiF3jD.html#ca1e374241
b'Macbook pro 13 2012 core i5 4gb ram  ';145 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/macbook-pro-13-2012-core-i5-4gb-ram-makbuk-prodam-IDiF1Js.html#ca1e374241
b'macbook pro mid 2012';150 000 тг.;Алматы, Жетысуский район;https://www.olx.kz/obyavlenie/macbook-pro-mid-2012-IDiF0Dq.html#ca1e374241
b'MacBook Air 13 2015 (i5 1.6Ghz, 4Gb, 120 Gb SSD)';240 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/macbook-air-13-2015-i5-1-6ghz-4gb-120-gb-ssd-IDiF02d.html#ca1e374241
b'Macbook Air   ';220 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/macbook-air-v-super-sostoyanii-IDimMoO.html#ca1e374241
b'Macbook Air 760/RSA';230 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/macbook-air-760-rsa-IDhH673.html#ca1e374241
b' Mac-Book     Air Pro   magsafe type-c';5 999 тг.;Алматы, Медеуский район;"https://www.olx.kz/obyavlenie/ot-mac-book-zaryadki-bloki-pitaniya-dlya-air-pro-makbuka-k-magsafe-type-c-IDiqY0s.html#ca1e374241;promoted"
b' Mac-Book       Air Pro  ';2 999 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/na-mac-book-i-noutbuki-zaryadki-bloki-pitaniya-dlya-air-pro-makbuka-k-IDiqY1D.html#ca1e374241
b'  macbook';300 000 тг.;Алматы, Ауэзовский район;https://www.olx.kz/obyavlenie/obmen-na-macbook-IDizf1B.html#ca1e374241
b'  HyperDrive  MacBook Pro, iPad Pro, surface, 9 ';70 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/dok-stantsiya-hyperdrive-dlya-macbook-pro-ipad-pro-surface-9-interfeys-IDhJI0n.html#ca1e374241
b'  MacBook/ ';3 500 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/chehly-na-macbook-makbuk-IDiwI0U.html#ca1e374241
b' MAC-BOOK         ';8 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/ot-mac-book-zaryadnoe-ustroystvo-blok-pitaniya-dlya-zaryadki-na-raznye-mod-IDhzdgy.html#ca1e374241
"b"" Apple MacBook Pro 15'' 17 Retina WithTouchBar 512gb SpaceGray""";920 000 тг.;Алматы, Алатауский район;https://www.olx.kz/obyavlenie/noutbuk-apple-macbook-pro-15-17-retina-withtouchbar-512gb-spacegray-IDgw67e.html#ca1e374241
b'Macbook air 2017 ';280 000 тг.;Алматы, Алатауский район;https://www.olx.kz/obyavlenie/macbook-air-2017-goda-IDiETql.html#ca1e374241
b'MacBook Pro   ';140 000 тг.;Алматы, Алатауский район;https://www.olx.kz/obyavlenie/macbook-pro-v-otlichnom-sostoyanii-IDiETk3.html#ca1e374241
b' macbook air 13';195 000 тг.;Алматы, Жетысуский район;https://www.olx.kz/obyavlenie/prodam-macbook-air-13-IDiET6y.html#ca1e374241
b'thunderbolt 3 usb-c   macbook';8 500 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/thunderbolt-3-usb-c-adapter-dlya-macbook-IDiESeQ.html#ca1e374241
b'Macbook Air  Pro';500 000 тг.;Алматы, Жетысуский район;https://www.olx.kz/obyavlenie/macbook-air-i-pro-IDiq6A1.html#ca1e374241
b'MacBook Air 13 2017 A1466';350 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/macbook-air-13-2017-a1466-IDiEOe7.html#ca1e374241
b' macbook pro 15 early 2013 a1398 retina';45 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/zapchasti-macbook-pro-15-early-2013-a1398-retina-IDiEJ78.html#ca1e374241
b'Macbook pro 15 early 2013 retina 256';149 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/macbook-pro-15-early-2013-retina-256-IDiEJ4x.html#ca1e374241
b'MacBook Pro 13';230 000 тг.;Алматы, Наурызбайский район;https://www.olx.kz/obyavlenie/macbook-pro-13-IDiEH23.html#ca1e374241
b' Macbook Air';200 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/prodayu-macbook-air-IDiEDcx.html#ca1e374241
b'Macbook 12 512Gb Gold';110 000 тг.;Алматы, Жетысуский район;https://www.olx.kz/obyavlenie/macbook-12-512gb-gold-IDiEBEc.html#ca1e374241
b'  Apple  MacBook, !!!';7 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/internet-perehodnik-apple-na-macbook-original-IDiEyO0.html#ca1e374241
b'  Apple MacBook Pro';265 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/prodam-noutbuk-apple-macbook-pro-IDfOTqv.html#ca1e374241
b' Mac-book     Air Pro 45/60/85w Magsafe2 -';8 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/ot-mac-book-blok-pitaniya-zaryadka-na-air-pro-45-60-85w-magsafe2-mak-buk-IDgOp7k.html#ca1e374241
b'MacBook Air 2012/2013   :1466';5 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/macbook-air-2012-2013-po-zapchastyam-model1466-IDfGmbk.html#ca1e374241
b'Macbook Pro 13 retina 256GB (early 2015)';260 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/macbook-pro-13-retina-256gb-early-2015-IDiEtDK.html#ca1e374241
"b'Apple MacBook Pro 13"" MC724LL/A 2.7GHz Core i7 8GB 512GB'";160 000 тг.;Алматы, Турксибский район;https://www.olx.kz/obyavlenie/apple-macbook-pro-13-mc724ll-a-2-7ghz-core-i7-8gb-512gb-IDiD7mN.html#ca1e374241
